Loan_ID,Application_Date,Age,Gender,Region,Annual_Income,Employment_Years,Home_Ownership,Education,Loan_Purpose,Credit_Score,Previous_Defaults,Loan_Amount_Requested,Application_Status,Funded_Amount,Interest_Rate,Loan_Term_Months,Loan_Status,Loan_Quality,Total_Received,Total_Interest_Received
LN101509,22-11-2023,63,Male,East,45000,9,OWN,Bachelor's,Debt Consolidation,695,0,6800,Approved,5840,7.07,24,Current,Good Loan,2474.37,87.47
LN101510,01-11-2024,50,Female,South,18500,4,OWN,Master's,Debt Consolidation,846,0,8200,Approved,7370,6.35,12,Current,Good Loan,3652.33,115.96
LN101511,05-05-2023,28,Male,North,59500,7,RENT,High School,Debt Consolidation,548,0,35400,Approved,32890,11.95,36,Charged Off,Bad Loan,8330.93,497.77
LN101512,03-10-2022,54,Male,Central,110200,32,RENT,High School,Personal,588,0,5500,Approved,5250,10.35,12,Charged Off,Bad Loan,267.62,13.85
LN101513,24-11-2023,29,Male,North,78500,0,OWN,Bachelor's,Business,708,0,9700,Approved,8390,10.7,60,Fully Paid,Good Loan,8390,448.86
LN101514,30-08-2022,40,Male,West,76100,30,OWN,Bachelor's,Business,608,0,39800,Rejected,0,,12,Not Funded,N/A,0,0
LN101515,06-05-2022,60,Male,South,58400,6,RENT,Bachelor's,Education,360,0,23500,Rejected,0,,48,Not Funded,N/A,0,0
LN101516,05-08-2022,45,Female,North,81100,22,MORTGAGE,Bachelor's,Home Improvement,803,0,23800,Approved,21230,7.67,36,Fully Paid,Good Loan,21230,814.17
LN101517,28-11-2024,39,Female,West,62100,23,RENT,High School,Debt Consolidation,826,0,34000,Approved,32800,6.82,24,Current,Good Loan,20161.66,687.51
LN101518,10-05-2023,25,Male,East,24700,13,MORTGAGE,High School,Personal,610,0,21400,Approved,18770,10.73,48,Current,Good Loan,16057.26,861.47
LN101519,03-03-2023,31,Female,South,80900,22,RENT,High School,Medical,499,0,9600,Rejected,0,,60,Not Funded,N/A,0,0
LN101520,07-07-2024,35,Male,South,36800,8,OWN,Master's,Business,652,1,17500,Rejected,0,,36,Not Funded,N/A,0,0
LN101521,31-05-2022,28,Female,North,55800,7,MORTGAGE,Master's,Home Improvement,374,0,30400,Rejected,0,,60,Not Funded,N/A,0,0
LN101522,19-01-2023,39,Male,Central,75600,7,RENT,High School,Business,570,0,35000,Approved,29890,12.69,60,Fully Paid,Good Loan,29890,1896.52
LN101523,04-11-2022,43,Female,East,38700,2,MORTGAGE,High School,Debt Consolidation,320,0,11700,Rejected,0,,60,Not Funded,N/A,0,0
LN101524,16-01-2024,47,Male,North,34800,31,RENT,High School,Debt Consolidation,335,1,11200,Rejected,0,,36,Not Funded,N/A,0,0
LN101525,10-06-2024,60,Male,Central,67200,3,RENT,High School,Debt Consolidation,497,1,13800,Rejected,0,,48,Not Funded,N/A,0,0
LN101526,10-01-2023,52,Male,South,32800,1,RENT,Master's,Home Improvement,452,0,24300,Rejected,0,,60,Not Funded,N/A,0,0
LN101527,28-10-2024,46,Male,North,49700,8,MORTGAGE,Bachelor's,Debt Consolidation,343,0,11900,Rejected,0,,24,Not Funded,N/A,0,0
LN101528,09-05-2022,47,Male,South,90000,0,RENT,High School,Debt Consolidation,844,0,35800,Approved,31860,4.28,48,Charged Off,Bad Loan,5813.6,124.41
LN101529,11-10-2024,39,Male,East,112600,10,MORTGAGE,Bachelor's,Medical,809,0,39100,Approved,35370,8.01,60,Fully Paid,Good Loan,35370,1416.57
LN101530,31-10-2023,62,Female,North,24300,28,MORTGAGE,High School,Car,715,1,27500,Rejected,0,,36,Not Funded,N/A,0,0
LN101531,01-06-2023,49,Female,East,49100,25,MORTGAGE,Bachelor's,Debt Consolidation,708,0,38800,Approved,33540,8.59,60,Fully Paid,Good Loan,33540,1440.54
LN101532,27-03-2022,59,Female,Central,95900,26,RENT,Bachelor's,Debt Consolidation,595,0,12200,Approved,11490,10.96,60,Current,Good Loan,9282.29,508.67
LN101533,07-11-2022,61,Female,North,45300,28,RENT,Bachelor's,Medical,502,0,32800,Rejected,0,,12,Not Funded,N/A,0,0
LN101534,03-03-2023,53,Female,South,77400,32,RENT,High School,Car,667,1,27500,Approved,24580,8.63,12,Current,Good Loan,16244.59,700.95
LN101535,24-04-2022,39,Male,South,80000,27,RENT,Bachelor's,Business,725,0,11300,Approved,10370,8.62,48,Fully Paid,Good Loan,10370,446.95
LN101536,30-10-2022,57,Male,East,41200,30,MORTGAGE,Master's,Education,509,0,13400,Approved,12170,14.57,12,Fully Paid,Good Loan,12170,886.58
LN101537,14-01-2024,39,Female,Central,65700,18,OWN,High School,Debt Consolidation,759,0,20100,Approved,19180,5.41,36,Fully Paid,Good Loan,19180,518.82
LN101538,11-08-2023,53,Female,South,67500,25,RENT,High School,Car,661,0,31900,Approved,31240,10.9,12,Current,Good Loan,15157.41,826.08
LN101539,13-09-2024,36,Male,North,81600,28,MORTGAGE,Bachelor's,Car,775,0,35000,Approved,33770,5.14,36,Current,Good Loan,8812.83,226.49
LN101540,11-12-2022,43,Male,South,26100,10,RENT,Bachelor's,Education,603,1,25700,Approved,21860,11.77,60,Current,Good Loan,7078.46,416.57
LN101541,24-03-2024,27,Male,North,96900,31,RENT,High School,Personal,484,0,29100,Approved,25170,17.1,48,Current,Good Loan,11766.11,1006
LN101542,11-03-2024,46,Female,West,73800,20,MORTGAGE,High School,Debt Consolidation,564,0,11300,Approved,10330,11.77,12,Current,Good Loan,2603.94,153.24
LN101543,21-10-2024,52,Male,North,32600,33,MORTGAGE,High School,Debt Consolidation,713,1,29900,Approved,29240,8.38,12,Fully Paid,Good Loan,29240,1225.16
LN101544,12-12-2024,32,Female,South,51100,21,OWN,Bachelor's,Home Improvement,701,0,24600,Approved,21780,8.12,48,Fully Paid,Good Loan,21780,884.27
LN101545,28-12-2024,28,Female,East,79000,26,MORTGAGE,High School,Debt Consolidation,472,0,9700,Rejected,0,,36,Not Funded,N/A,0,0
LN101546,27-12-2022,25,Female,South,33400,7,RENT,Bachelor's,Car,382,0,38100,Rejected,0,,36,Not Funded,N/A,0,0
LN101547,06-10-2024,62,Male,East,35700,30,MORTGAGE,Bachelor's,Medical,621,1,21000,Approved,18080,13.18,12,Charged Off,Bad Loan,2195.72,144.7
LN101548,05-12-2023,48,Male,North,54600,0,MORTGAGE,Bachelor's,Medical,645,0,32000,Approved,31580,10.55,36,Fully Paid,Good Loan,31580,1665.85
LN101549,29-07-2023,25,Male,Central,44500,33,MORTGAGE,Bachelor's,Debt Consolidation,371,0,21500,Rejected,0,,36,Not Funded,N/A,0,0
LN101550,19-11-2023,46,Male,South,60700,23,OWN,Bachelor's,Medical,750,0,37400,Approved,34390,6.86,12,Fully Paid,Good Loan,34390,1179.58
LN101551,20-02-2024,25,Female,Central,78500,27,RENT,PhD,Debt Consolidation,507,0,6500,Approved,5840,15.68,12,Current,Good Loan,1398.67,109.66
LN101552,08-08-2023,42,Male,South,61200,3,MORTGAGE,Master's,Debt Consolidation,641,0,22300,Approved,19450,12.7,12,Charged Off,Bad Loan,6857.32,435.44
LN101553,12-08-2023,35,Male,West,53900,17,RENT,Bachelor's,Business,332,0,2000,Rejected,0,,24,Not Funded,N/A,0,0
LN101554,04-05-2023,33,Male,South,78600,28,MORTGAGE,Master's,Debt Consolidation,681,0,8700,Approved,8650,10.48,12,Charged Off,Bad Loan,3376.97,176.95
LN101555,28-08-2024,48,Female,West,51700,22,MORTGAGE,Bachelor's,Personal,685,0,12000,Approved,11380,10.26,24,Current,Good Loan,8551.47,438.69
LN101556,09-05-2023,53,Male,South,38700,26,RENT,Bachelor's,Home Improvement,408,0,19400,Rejected,0,,60,Not Funded,N/A,0,0
LN101557,19-01-2022,63,Female,East,91100,15,OWN,High School,Business,461,0,33000,Approved,31570,13.84,36,Fully Paid,Good Loan,31570,2184.64
LN101558,01-02-2023,43,Male,West,18200,26,RENT,Bachelor's,Car,315,0,19200,Rejected,0,,24,Not Funded,N/A,0,0
LN101559,27-09-2024,53,Male,East,55800,8,RENT,High School,Home Improvement,313,0,22900,Rejected,0,,60,Not Funded,N/A,0,0
LN101560,30-04-2024,63,Male,East,46000,4,OWN,High School,Home Improvement,545,0,37000,Rejected,0,,36,Not Funded,N/A,0,0
LN101561,01-04-2024,38,Male,North,35800,7,RENT,High School,Home Improvement,345,0,30500,Rejected,0,,36,Not Funded,N/A,0,0
LN101562,31-03-2023,50,Female,South,62000,17,RENT,PhD,Home Improvement,701,0,3000,Approved,2880,8.37,36,Fully Paid,Good Loan,2880,120.53
LN101563,26-12-2023,46,Male,East,66600,34,MORTGAGE,High School,Business,347,0,7900,Rejected,0,,48,Not Funded,N/A,0,0
LN101564,24-12-2024,36,Male,North,37300,5,MORTGAGE,Bachelor's,Personal,709,0,2500,Rejected,0,,48,Not Funded,N/A,0,0
LN101565,12-12-2023,33,Female,South,28900,22,OWN,Master's,Personal,753,0,3700,Approved,3620,6.06,24,Fully Paid,Good Loan,3620,109.69
LN101566,23-05-2022,59,Female,South,30100,25,MORTGAGE,Bachelor's,Business,441,0,14200,Rejected,0,,24,Not Funded,N/A,0,0
LN101567,05-07-2024,53,Female,South,122500,23,MORTGAGE,Bachelor's,Business,749,0,29400,Approved,26160,5.59,36,Charged Off,Bad Loan,2938.06,82.12
LN101568,07-04-2024,46,Male,East,128800,9,OWN,Bachelor's,Car,488,0,10500,Approved,9970,15.31,60,Current,Good Loan,8199.26,627.65
LN101569,28-08-2023,21,Male,East,54900,14,MORTGAGE,Bachelor's,Education,756,0,16300,Approved,15740,7.79,24,Fully Paid,Good Loan,15740,613.07
LN101570,01-11-2022,58,Female,Central,29200,19,RENT,High School,Car,415,0,16400,Rejected,0,,12,Not Funded,N/A,0,0
LN101571,06-01-2024,22,Female,South,50700,28,MORTGAGE,Master's,Medical,813,0,24000,Approved,21700,5.48,12,Fully Paid,Good Loan,21700,594.58
LN101572,18-10-2022,26,Female,Central,20100,5,RENT,High School,Personal,312,0,35800,Rejected,0,,24,Not Funded,N/A,0,0
LN101573,12-04-2022,58,Male,West,62400,8,RENT,Master's,Car,576,0,39300,Approved,35090,12.12,60,Current,Good Loan,24577.75,1489.41
LN101574,16-05-2024,62,Female,Central,34600,4,MORTGAGE,High School,Car,551,0,24600,Rejected,0,,12,Not Funded,N/A,0,0
LN101575,25-08-2024,44,Female,West,31400,18,OWN,Bachelor's,Home Improvement,527,0,20700,Approved,18090,12.49,36,Current,Good Loan,7431.44,464.09
LN101576,31-08-2024,38,Male,West,84100,4,RENT,Bachelor's,Home Improvement,445,1,27600,Rejected,0,,36,Not Funded,N/A,0,0
LN101577,21-04-2024,47,Female,South,50500,19,RENT,PhD,Medical,516,0,27100,Rejected,0,,48,Not Funded,N/A,0,0
LN101578,19-08-2024,61,Female,South,80000,10,MORTGAGE,Bachelor's,Debt Consolidation,593,0,21400,Approved,19670,12.8,48,Charged Off,Bad Loan,5590.71,357.81
LN101579,30-07-2024,28,Male,South,93300,26,RENT,PhD,Home Improvement,580,0,29700,Approved,25330,11.97,48,Fully Paid,Good Loan,25330,1516
LN101580,23-10-2024,48,Male,Central,52000,28,RENT,Bachelor's,Personal,465,0,20200,Rejected,0,,60,Not Funded,N/A,0,0
LN101581,26-03-2022,30,Female,Central,54100,6,MORTGAGE,Bachelor's,Business,442,0,39900,Rejected,0,,36,Not Funded,N/A,0,0
LN101582,24-11-2022,37,Male,West,87200,2,RENT,Bachelor's,Debt Consolidation,797,2,2900,Rejected,0,,60,Not Funded,N/A,0,0
LN101583,26-03-2024,49,Male,Central,42500,4,RENT,High School,Business,783,0,18300,Approved,15580,7.36,12,Fully Paid,Good Loan,15580,573.34
LN101584,30-03-2023,26,Male,Central,91100,12,OWN,Bachelor's,Debt Consolidation,712,0,16500,Approved,14140,10.14,36,Fully Paid,Good Loan,14140,716.9
LN101585,21-09-2023,34,Male,East,21800,15,MORTGAGE,High School,Medical,396,2,31000,Rejected,0,,48,Not Funded,N/A,0,0
LN101586,27-10-2023,42,Female,East,46200,11,RENT,Bachelor's,Car,587,0,8400,Approved,8080,13.11,48,Current,Good Loan,4858.21,318.46
LN101587,12-01-2022,26,Male,South,58900,26,MORTGAGE,Master's,Medical,568,0,17900,Approved,17740,14.94,12,Fully Paid,Good Loan,17740,1325.18
LN101588,31-10-2022,46,Male,South,31500,32,RENT,Master's,Debt Consolidation,508,0,28200,Rejected,0,,36,Not Funded,N/A,0,0
LN101589,01-09-2024,59,Female,North,64000,14,OWN,Bachelor's,Home Improvement,836,0,24500,Approved,22920,6.26,60,Fully Paid,Good Loan,22920,717.4
LN101590,22-02-2024,32,Male,South,58500,20,RENT,Bachelor's,Debt Consolidation,604,0,22300,Approved,19230,12.27,60,Charged Off,Bad Loan,3537.52,217.03
LN101591,12-02-2022,55,Male,West,39000,16,OWN,Bachelor's,Debt Consolidation,387,2,18000,Rejected,0,,12,Not Funded,N/A,0,0
LN101592,01-08-2024,34,Female,South,38300,14,MORTGAGE,Master's,Medical,419,2,30300,Rejected,0,,36,Not Funded,N/A,0,0
LN101593,09-12-2022,42,Male,Central,36600,19,MORTGAGE,PhD,Home Improvement,524,0,26200,Approved,24810,12.89,60,Current,Good Loan,12905.7,831.77
LN101594,13-05-2023,43,Male,South,26800,18,RENT,Bachelor's,Debt Consolidation,435,0,35100,Rejected,0,,48,Not Funded,N/A,0,0
LN101595,30-12-2022,27,Female,North,111800,0,OWN,Bachelor's,Home Improvement,681,0,29600,Approved,26780,10.22,48,Fully Paid,Good Loan,26780,1368.46
LN101596,09-06-2024,60,Female,West,49300,3,RENT,High School,Debt Consolidation,310,0,6500,Rejected,0,,60,Not Funded,N/A,0,0
LN101597,03-03-2023,45,Female,West,29500,2,RENT,High School,Car,738,0,25200,Approved,22790,9.21,36,Fully Paid,Good Loan,22790,1049.48
LN101598,01-10-2024,33,Female,South,51300,7,RENT,Master's,Debt Consolidation,309,0,2700,Rejected,0,,60,Not Funded,N/A,0,0
LN101599,21-01-2022,41,Female,East,60400,4,MORTGAGE,PhD,Home Improvement,614,0,16100,Approved,14500,9.9,12,Current,Good Loan,9381.07,464.36
LN101600,11-02-2023,61,Female,South,37500,8,RENT,Bachelor's,Debt Consolidation,364,0,17100,Rejected,0,,36,Not Funded,N/A,0,0
LN101601,11-09-2023,30,Female,Central,46000,0,OWN,PhD,Home Improvement,767,0,34300,Approved,32160,8.42,60,Current,Good Loan,12396.87,521.91
LN101602,11-10-2024,29,Male,East,97400,29,RENT,Bachelor's,Home Improvement,494,0,8000,Approved,7200,13.46,48,Current,Good Loan,5577.96,375.4
LN101603,02-12-2022,35,Male,North,32000,6,MORTGAGE,Bachelor's,Medical,713,0,26100,Approved,23710,7.58,36,Fully Paid,Good Loan,23710,898.61
LN101604,03-02-2023,22,Female,East,41700,21,RENT,Bachelor's,Medical,300,0,8500,Rejected,0,,24,Not Funded,N/A,0,0
LN101605,03-03-2024,45,Female,Central,22000,19,RENT,Bachelor's,Debt Consolidation,667,0,38000,Rejected,0,,36,Not Funded,N/A,0,0
LN101606,16-12-2023,33,Male,West,123100,28,RENT,Bachelor's,Debt Consolidation,675,0,21700,Approved,20920,10.45,48,Current,Good Loan,12686.79,662.88
LN101607,20-02-2022,54,Male,West,72900,26,OWN,Bachelor's,Personal,490,1,28600,Rejected,0,,36,Not Funded,N/A,0,0
LN101608,20-11-2022,54,Male,South,53000,24,RENT,Bachelor's,Medical,589,0,26200,Approved,25640,12.69,12,Fully Paid,Good Loan,25640,1626.86
LN101609,28-02-2024,55,Male,Central,39200,34,MORTGAGE,Bachelor's,Home Improvement,498,0,12800,Rejected,0,,48,Not Funded,N/A,0,0
LN101610,21-05-2022,58,Female,West,38300,26,RENT,Master's,Debt Consolidation,534,0,36100,Approved,34610,15.58,48,Fully Paid,Good Loan,34610,2696.12
LN101611,15-04-2023,23,Female,West,48000,10,MORTGAGE,Bachelor's,Debt Consolidation,529,0,25500,Rejected,0,,12,Not Funded,N/A,0,0
LN101612,26-02-2024,62,Female,South,67700,16,RENT,Bachelor's,Education,525,0,20900,Approved,20550,13.09,24,Fully Paid,Good Loan,20550,1345
LN101613,21-08-2024,26,Female,Central,33600,30,RENT,Bachelor's,Personal,729,1,21600,Rejected,0,,36,Not Funded,N/A,0,0
LN101614,04-10-2024,39,Male,East,44000,17,MORTGAGE,High School,Education,495,0,35700,Rejected,0,,12,Not Funded,N/A,0,0
LN101615,08-01-2023,23,Male,Central,79700,18,RENT,High School,Debt Consolidation,766,0,3300,Approved,3100,6.69,36,Current,Good Loan,770.96,25.79
LN101616,09-05-2023,38,Male,South,111800,28,MORTGAGE,Bachelor's,Education,740,1,16200,Approved,14220,5.88,36,Current,Good Loan,4669.05,137.27
LN101617,21-01-2024,59,Female,North,69200,14,RENT,High School,Personal,456,0,33800,Rejected,0,,24,Not Funded,N/A,0,0
LN101618,18-10-2022,29,Male,South,40200,6,MORTGAGE,Bachelor's,Home Improvement,781,1,2500,Approved,2390,9.6,36,Current,Good Loan,941.6,45.2
LN101619,16-04-2022,32,Male,South,50500,6,RENT,Bachelor's,Personal,653,0,25900,Approved,25110,9.49,12,Current,Good Loan,12151.76,576.6
LN101620,01-11-2023,25,Female,East,65200,21,RENT,High School,Education,832,0,16700,Approved,15280,5.58,36,Fully Paid,Good Loan,15280,426.31
LN101621,02-01-2022,23,Male,East,47500,11,MORTGAGE,Bachelor's,Debt Consolidation,807,2,9000,Approved,8400,6.59,36,Charged Off,Bad Loan,2844.84,93.74
LN101622,12-08-2023,31,Female,East,74600,7,RENT,High School,Debt Consolidation,704,0,24800,Approved,21460,8.5,24,Fully Paid,Good Loan,21460,912.05
LN101623,06-10-2023,50,Female,West,39000,17,MORTGAGE,High School,Debt Consolidation,588,0,33400,Rejected,0,,36,Not Funded,N/A,0,0
LN101624,31-03-2022,24,Male,North,112000,27,MORTGAGE,High School,Education,389,0,19200,Rejected,0,,48,Not Funded,N/A,0,0
LN101625,16-12-2022,25,Male,South,52100,17,OWN,High School,Business,681,0,6700,Approved,6210,7.95,60,Fully Paid,Good Loan,6210,246.85
LN101626,28-11-2024,21,Female,Central,40800,30,RENT,Bachelor's,Business,600,0,12900,Approved,12600,13.62,48,Fully Paid,Good Loan,12600,858.06
LN101627,27-06-2024,47,Male,East,70700,16,MORTGAGE,Bachelor's,Debt Consolidation,741,0,39300,Approved,37960,7.83,24,Current,Good Loan,23269.46,911
LN101628,08-06-2022,48,Male,East,34900,22,RENT,Bachelor's,Personal,801,0,5300,Approved,4930,6.99,36,Charged Off,Bad Loan,622.35,21.75
LN101629,16-08-2024,49,Female,East,57900,10,RENT,High School,Debt Consolidation,684,0,7300,Rejected,0,,12,Not Funded,N/A,0,0
LN101630,08-11-2022,38,Female,East,101800,14,MORTGAGE,High School,Debt Consolidation,822,0,39600,Approved,36310,4.62,36,Fully Paid,Good Loan,36310,838.76
LN101631,21-03-2023,32,Male,North,31300,29,RENT,Bachelor's,Debt Consolidation,801,0,35400,Approved,31950,4.77,36,Fully Paid,Good Loan,31950,762.01
LN101632,25-10-2022,33,Female,East,92600,30,MORTGAGE,Bachelor's,Debt Consolidation,548,0,28600,Approved,24960,12.5,24,Charged Off,Bad Loan,2547.25,159.2
LN101633,09-08-2024,61,Female,Central,30300,5,MORTGAGE,Bachelor's,Personal,390,0,6900,Approved,6530,17.81,36,Charged Off,Bad Loan,2367.61,210.84
LN101634,05-02-2022,22,Male,East,78400,11,MORTGAGE,Bachelor's,Debt Consolidation,693,0,10400,Approved,9920,8.29,12,Current,Good Loan,7125.88,295.37
LN101635,13-07-2023,57,Female,North,35400,22,RENT,PhD,Debt Consolidation,657,1,8000,Rejected,0,,12,Not Funded,N/A,0,0
LN101636,09-06-2024,36,Male,West,92600,34,RENT,Bachelor's,Business,448,0,25600,Rejected,0,,60,Not Funded,N/A,0,0
LN101637,21-05-2022,44,Male,South,41800,2,RENT,Bachelor's,Business,774,2,16600,Approved,16590,7.03,60,Fully Paid,Good Loan,16590,583.14
LN101638,05-06-2024,55,Female,North,46100,27,RENT,High School,Debt Consolidation,741,0,2900,Rejected,0,,36,Not Funded,N/A,0,0
LN101639,27-12-2023,42,Female,Central,35500,14,RENT,Bachelor's,Debt Consolidation,307,0,12400,Rejected,0,,12,Not Funded,N/A,0,0
LN101640,15-11-2024,56,Male,North,18300,12,RENT,Bachelor's,Debt Consolidation,528,0,34600,Rejected,0,,36,Not Funded,N/A,0,0
LN101641,05-06-2023,31,Female,Central,32400,18,MORTGAGE,High School,Car,369,0,32000,Rejected,0,,48,Not Funded,N/A,0,0
LN101642,10-01-2022,49,Female,South,25400,17,RENT,High School,Education,339,1,26100,Rejected,0,,24,Not Funded,N/A,0,0
LN101643,10-09-2024,55,Female,West,21600,30,MORTGAGE,PhD,Personal,328,0,4300,Rejected,0,,24,Not Funded,N/A,0,0
LN101644,13-01-2023,35,Male,East,61800,20,OWN,Master's,Debt Consolidation,820,0,35400,Approved,34580,4.96,12,Fully Paid,Good Loan,34580,857.58
LN101645,13-11-2023,51,Female,South,107600,4,RENT,Bachelor's,Business,576,0,21800,Approved,21600,14.17,48,Fully Paid,Good Loan,21600,1530.36
LN101646,07-08-2023,62,Male,West,121600,16,RENT,Master's,Medical,587,0,20300,Approved,18640,14.34,12,Current,Good Loan,11212.72,803.95
LN101647,01-06-2022,61,Male,Central,32100,18,MORTGAGE,High School,Debt Consolidation,482,0,37400,Rejected,0,,48,Not Funded,N/A,0,0
LN101648,21-12-2023,63,Female,West,51600,3,RENT,Bachelor's,Education,821,0,1300,Approved,1290,5.91,12,Current,Good Loan,546.41,16.15
LN101649,08-12-2024,36,Female,East,91500,25,MORTGAGE,High School,Business,383,0,22700,Approved,20260,17.36,60,Charged Off,Bad Loan,6114.33,530.72
LN101650,08-05-2024,30,Female,Central,30000,23,RENT,Bachelor's,Home Improvement,696,0,31900,Approved,29470,8.19,36,Current,Good Loan,22459.12,919.7
LN101651,19-02-2022,52,Male,South,93100,18,RENT,Master's,Education,385,0,3500,Rejected,0,,24,Not Funded,N/A,0,0
LN101652,26-10-2023,22,Male,North,93800,29,RENT,High School,Business,596,1,14900,Rejected,0,,24,Not Funded,N/A,0,0
LN101653,15-06-2023,44,Female,North,22600,25,RENT,Bachelor's,Car,586,1,39100,Rejected,0,,48,Not Funded,N/A,0,0
LN101654,19-12-2024,43,Male,West,18800,10,RENT,Bachelor's,Personal,408,2,9300,Rejected,0,,60,Not Funded,N/A,0,0
LN101655,06-05-2024,22,Male,West,45200,2,RENT,Bachelor's,Business,843,1,21700,Rejected,0,,48,Not Funded,N/A,0,0
LN101656,26-05-2022,58,Male,East,82600,21,RENT,Master's,Home Improvement,312,1,30100,Rejected,0,,60,Not Funded,N/A,0,0
LN101657,03-07-2024,51,Female,Central,27300,16,MORTGAGE,Master's,Medical,676,1,16200,Approved,14770,10.22,48,Fully Paid,Good Loan,14770,754.75
LN101658,19-09-2024,60,Female,West,21700,10,RENT,High School,Debt Consolidation,708,2,16900,Rejected,0,,12,Not Funded,N/A,0,0
LN101659,30-08-2022,46,Female,South,55800,26,MORTGAGE,Bachelor's,Debt Consolidation,314,1,3500,Rejected,0,,12,Not Funded,N/A,0,0
LN101660,04-08-2023,49,Female,North,72000,28,RENT,Bachelor's,Business,487,0,8400,Approved,7660,14.3,24,Fully Paid,Good Loan,7660,547.69
LN101661,18-11-2023,23,Female,Central,39900,11,RENT,High School,Education,533,0,35300,Rejected,0,,48,Not Funded,N/A,0,0
LN101662,28-04-2023,34,Male,North,41400,12,RENT,Master's,Car,757,0,32900,Approved,30660,6.1,48,Fully Paid,Good Loan,30660,935.13
LN101663,04-11-2023,45,Male,East,71800,10,MORTGAGE,High School,Personal,444,0,12900,Rejected,0,,12,Not Funded,N/A,0,0
LN101664,23-09-2023,21,Female,South,36600,30,MORTGAGE,High School,Car,816,0,15900,Approved,14550,6.42,48,Fully Paid,Good Loan,14550,467.05
LN101665,23-10-2023,23,Male,South,37900,10,RENT,High School,Personal,440,0,18200,Rejected,0,,24,Not Funded,N/A,0,0
LN101666,24-10-2023,46,Male,East,61400,1,RENT,Bachelor's,Business,832,0,14500,Approved,14160,5,24,Current,Good Loan,4056.75,101.42
LN101667,15-03-2024,38,Male,South,64500,22,OWN,High School,Home Improvement,414,0,26500,Rejected,0,,48,Not Funded,N/A,0,0
LN101668,23-02-2023,29,Male,Central,49000,13,MORTGAGE,Bachelor's,Business,343,0,1500,Rejected,0,,24,Not Funded,N/A,0,0
LN101669,14-09-2024,58,Male,South,105700,26,RENT,Bachelor's,Education,503,1,35300,Rejected,0,,24,Not Funded,N/A,0,0
LN101670,12-10-2023,43,Female,West,75900,11,MORTGAGE,Bachelor's,Business,772,0,12700,Approved,10830,5.67,48,Fully Paid,Good Loan,10830,307.03
LN101671,26-08-2024,41,Female,West,46300,28,RENT,High School,Education,608,0,35000,Approved,32900,10.22,48,Fully Paid,Good Loan,32900,1681.19
LN101672,13-08-2023,21,Female,West,30300,5,RENT,Bachelor's,Car,621,1,18700,Rejected,0,,12,Not Funded,N/A,0,0
LN101673,24-05-2023,41,Female,Central,84600,22,MORTGAGE,Bachelor's,Debt Consolidation,704,0,31300,Approved,27500,11.02,12,Fully Paid,Good Loan,27500,1515.25
LN101674,17-03-2023,47,Male,South,86000,9,MORTGAGE,Bachelor's,Debt Consolidation,660,0,33200,Approved,28870,10.92,60,Fully Paid,Good Loan,28870,1576.3
LN101675,09-07-2024,62,Male,North,51800,33,RENT,High School,Business,425,0,12800,Rejected,0,,48,Not Funded,N/A,0,0
LN101676,09-02-2024,26,Female,North,61400,11,MORTGAGE,High School,Personal,419,1,26000,Rejected,0,,60,Not Funded,N/A,0,0
LN101677,20-09-2022,64,Female,Central,74300,31,MORTGAGE,High School,Debt Consolidation,513,0,24700,Rejected,0,,48,Not Funded,N/A,0,0
LN101678,29-09-2023,56,Male,Central,111500,25,RENT,Bachelor's,Personal,610,0,19600,Approved,17580,12.63,60,Fully Paid,Good Loan,17580,1110.18
LN101679,04-04-2023,48,Female,South,80800,6,RENT,High School,Personal,364,1,19300,Rejected,0,,36,Not Funded,N/A,0,0
LN101680,25-09-2024,37,Male,West,66200,31,MORTGAGE,Bachelor's,Debt Consolidation,665,1,12900,Rejected,0,,48,Not Funded,N/A,0,0
LN101681,01-12-2023,60,Male,North,82300,32,RENT,Bachelor's,Car,504,0,13100,Approved,12030,17.53,24,Charged Off,Bad Loan,4183.95,366.72
LN101682,29-10-2022,23,Female,North,90900,17,MORTGAGE,PhD,Debt Consolidation,486,1,22400,Rejected,0,,60,Not Funded,N/A,0,0
LN101683,08-07-2023,32,Male,West,61200,34,RENT,Master's,Business,560,0,2300,Approved,1970,12.44,36,Fully Paid,Good Loan,1970,122.53
LN101684,15-10-2022,59,Male,North,81900,19,RENT,Master's,Home Improvement,389,0,37400,Rejected,0,,36,Not Funded,N/A,0,0
LN101685,13-09-2023,32,Male,South,40000,30,OWN,Master's,Personal,692,0,26300,Approved,25860,10.64,12,Charged Off,Bad Loan,9156.26,487.11
LN101686,02-10-2024,22,Male,West,86300,4,OWN,Bachelor's,Business,449,0,18300,Rejected,0,,36,Not Funded,N/A,0,0
LN101687,05-02-2022,42,Female,West,40100,31,MORTGAGE,Master's,Home Improvement,711,0,3400,Rejected,0,,60,Not Funded,N/A,0,0
LN101688,14-01-2024,43,Female,South,34400,18,MORTGAGE,Bachelor's,Education,743,1,25600,Rejected,0,,36,Not Funded,N/A,0,0
LN101689,19-12-2022,50,Female,East,51100,0,MORTGAGE,Bachelor's,Home Improvement,439,0,1700,Rejected,0,,36,Not Funded,N/A,0,0
LN101690,14-03-2022,25,Female,East,29600,6,MORTGAGE,Bachelor's,Business,592,0,27500,Approved,24610,11.97,12,Charged Off,Bad Loan,5304.77,317.49
